Date,Open,High,Low,Close,Change (Pips),Change (%)
"Jun 14, 2018 23:00",1.15836,1.15844,1.15608,1.15633,-20.3,-0.18%
"Jun 14, 2018 22:00",1.15748,1.15845,1.15742,1.15833,8.5,0.0007
"Jun 14, 2018 21:00",1.15649,1.15748,1.15631,1.15747,9.8,0.0008
"Jun 14, 2018 20:00",1.15858,1.15907,1.15624,1.15655,-20.3,-0.18%
"Jun 14, 2018 19:00",1.15916,1.16004,1.15845,1.1586,-5.6,-0.05%
"Jun 14, 2018 18:00",1.16046,1.16089,1.15898,1.15913,-13.3,-0.11%
"Jun 14, 2018 17:00",1.16333,1.16409,1.16009,1.16046,-28.7,-0.25%
"Jun 14, 2018 16:00",1.16323,1.16475,1.16183,1.16337,1.4,0.0001
"Jun 14, 2018 15:00",1.16516,1.16525,1.16286,1.16322,-19.4,-0.17%
"Jun 14, 2018 14:00",1.16521,1.16586,1.16191,1.16515,-0.6,-0.01%
"Jun 14, 2018 13:00",1.16885,1.16886,1.16521,1.16521,-36.4,-0.31%
"Jun 14, 2018 12:00",1.17384,1.17435,1.16844,1.1688,-50.4,-0.43%
"Jun 14, 2018 11:00",1.18248,1.18517,1.17388,1.17388,-86,-0.73%
"Jun 14, 2018 10:00",1.18247,1.1831,1.18201,1.18245,-0.2,0
"Jun 14, 2018 9:00",1.18258,1.18262,1.18146,1.18248,-1,-0.01%
"Jun 14, 2018 8:00",1.18178,1.18276,1.18131,1.18255,7.7,0.0007
"Jun 14, 2018 7:00",1.18139,1.18193,1.18069,1.18174,3.5,0.0003
"Jun 14, 2018 6:00",1.18032,1.18169,1.17979,1.18145,11.3,0.001
"Jun 14, 2018 5:00",1.18041,1.18111,1.18002,1.1803,-1.1,-0.01%
"Jun 14, 2018 4:00",1.1801,1.18057,1.18005,1.18038,2.8,0.0002
"Jun 14, 2018 3:00",1.17983,1.18026,1.1795,1.18015,3.2,0.0003
"Jun 14, 2018 2:00",1.17978,1.17989,1.17897,1.17983,0.5,0
"Jun 14, 2018 1:00",1.17956,1.18007,1.179,1.17978,2.2,0.0002
"Jun 14, 2018 0:00",1.18035,1.18039,1.17923,1.17957,-7.8,-0.07%
"Jun 13, 2018 23:00",1.17987,1.18047,1.17951,1.18031,4.4,0.0004
"Jun 13, 2018 22:00",1.17937,1.18026,1.17916,1.17989,5.2,0.0004
"Jun 13, 2018 21:00",1.17902,1.17941,1.17867,1.17938,3.6,0.0003
"Jun 13, 2018 20:00",1.179,1.17935,1.17855,1.17921,2.1,0.0002
"Jun 13, 2018 19:00",1.17725,1.18012,1.17724,1.17904,17.9,0.0015
"Jun 13, 2018 18:00",1.17875,1.17875,1.17253,1.17722,-15.3,-0.13%
"Jun 13, 2018 17:00",1.17909,1.17927,1.17835,1.17868,-4.1,-0.03%
"Jun 13, 2018 16:00",1.17826,1.17918,1.17814,1.17904,7.8,0.0007
"Jun 13, 2018 15:00",1.17716,1.17882,1.17694,1.17826,11,0.0009
"Jun 13, 2018 14:00",1.17678,1.17809,1.17678,1.17716,3.8,0.0003
"Jun 13, 2018 13:00",1.1774,1.17816,1.17662,1.17674,-6.6,-0.06%
"Jun 13, 2018 12:00",1.17559,1.17762,1.17555,1.17745,18.6,0.0016
"Jun 13, 2018 11:00",1.17622,1.17662,1.17513,1.17558,-6.4,-0.05%
"Jun 13, 2018 10:00",1.17552,1.17706,1.17534,1.17623,7.1,0.0006
"Jun 13, 2018 9:00",1.17435,1.17619,1.17388,1.17547,11.2,0.001
"Jun 13, 2018 8:00",1.17461,1.17497,1.17329,1.17436,-2.5,-0.02%
"Jun 13, 2018 7:00",1.174,1.1754,1.17396,1.17465,6.5,0.0006
"Jun 13, 2018 6:00",1.17505,1.17507,1.17301,1.17397,-10.8,-0.09%
"Jun 13, 2018 5:00",1.17438,1.17529,1.17411,1.17512,7.4,0.0006
"Jun 13, 2018 4:00",1.17447,1.17451,1.17398,1.17439,-0.8,-0.01%
"Jun 13, 2018 3:00",1.17479,1.17479,1.1743,1.17446,-3.3,-0.03%
"Jun 13, 2018 2:00",1.17451,1.17491,1.17439,1.17475,2.4,0.0002
"Jun 13, 2018 1:00",1.17458,1.17484,1.174,1.17456,-0.2,0
"Jun 13, 2018 0:00",1.1748,1.17528,1.1745,1.17461,-1.9,-0.02%
"Jun 12, 2018 23:00",1.17455,1.17478,1.17417,1.17474,1.9,0.0002
"Jun 12, 2018 22:00",1.17437,1.17472,1.17406,1.17455,1.8,0.0002
"Jun 12, 2018 21:00",1.17442,1.17474,1.17433,1.1744,-0.2,0
"Jun 12, 2018 20:00",1.17512,1.17512,1.17442,1.17444,-6.8,-0.06%
"Jun 12, 2018 19:00",1.17504,1.17551,1.17468,1.17516,1.2,0.0001
"Jun 12, 2018 18:00",1.17511,1.17518,1.17333,1.17498,-1.3,-0.01%
